物件名,住所,築年数,築年数2,築年数_値,家賃,間取り,面積,家賃/平米,アクセス2,minute2,アクセス3,minute3,アクセス4,minute4,アクセス5,minute5,アクセス6,minute6,アクセス7,minute7,アクセス8,minute8,アクセス9,minute9,min_minute,築年数フラグ,家賃フラグ,アクセスフラグ,ターゲットフラグ,駅名,サブターゲットフラグ,詳細リンク,仲介業者
天王マンション,東京都葛飾区東新小岩４,"築51年
4階建","築51年
4階建",51,6.5,2K,28.18,0.2306600425833924,ＪＲ総武線/新小岩駅 歩15分,15.0,ＪＲ総武線/小岩駅 歩29分,29.0,京成押上線/京成立石駅 歩35分,35.0,,0,,0,,0,,0,,0,15.0,1,1,1,1,新小岩,0,https://suumo.jp/chintai/jnc_000055684798/?bc=100240994114,ホームメイトFC小岩駅北口店(株)コーユー
アパートメンツ東京西小岩,東京都江戸川区西小岩１,"築8年
2階建","築8年
2階建",8,5.4,ワンルーム,11.11,0.4860486048604861,ＪＲ総武線/小岩駅 歩5分,5.0,京成本線/京成小岩駅 歩19分,19.0,北総線/京成高砂駅 バス12分 (バス停)小岩駅北口 歩6分,12.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,小岩,0,https://suumo.jp/chintai/jnc_000052776256/?bc=100338620441,ハウスコム東東京(株)新小岩店
GENOVIA鐘ヶ淵,東京都墨田区墨田２,"新築
9階建",築１年,1,9.3,1DK,27.14,0.3426676492262344,東武伊勢崎線/鐘ヶ淵駅 歩3分,3.0,東武伊勢崎線/堀切駅 歩14分,14.0,東武伊勢崎線/東向島駅 歩15分,15.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,鐘ヶ淵,0,https://suumo.jp/chintai/jnc_000083626729/?bc=100345346749,(株)エフスタイル
都営新宿線 菊川駅 5階建 築2年,東京都江東区森下５,"築2年
5階建","築2年
5階建",2,8.3,ワンルーム,21.17,0.3920642418516769,都営新宿線/菊川駅 歩7分,7.0,都営新宿線/住吉駅 歩11分,11.0,都営大江戸線/清澄白河駅 歩11分,11.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,菊川,0,https://suumo.jp/chintai/jnc_000073385436/?bc=100349172047,リブマックス高田馬場店(株)リブマックスリーシング
東ハウス,東京都江戸川区東小岩５,"築40年
2階建","築40年
2階建",40,6.4,2K,30.0,0.2133333333333333,ＪＲ総武線/小岩駅 歩10分,10.0,京成本線/江戸川駅 歩12分,12.0,京成本線/京成小岩駅 歩18分,18.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,小岩,0,https://suumo.jp/chintai/jnc_000083560102/?bc=100349787103,住まいコーデ 錦糸町店(株)ヨーコーズ
ルクレ上野,東京都台東区東上野２,"築6年
12階建","築6年
12階建",6,11.2,1K,25.62,0.4371584699453551,ＪＲ山手線/上野駅 歩9分,9.0,東京メトロ銀座線/稲荷町駅 歩6分,6.0,都営大江戸線/新御徒町駅 歩3分,3.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,上野,0,https://suumo.jp/chintai/jnc_000084579871/?bc=100341581269,ホームメイトFC小岩駅北口店(株)コーユー
ディームス両国,東京都墨田区緑３,"築3年
11階建","築3年
11階建",3,10.7,1K,25.14,0.4256165473349244,都営新宿線/菊川駅 歩9分,9.0,都営大江戸線/両国駅 歩10分,10.0,ＪＲ総武線/錦糸町駅 歩12分,12.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,菊川,0,https://suumo.jp/chintai/jnc_000075363663/?bc=100341543381,グランデ上野店 (株)グランデ
ＦＡＩＲ町屋,東京都荒川区町屋２,"築8年
3階建","築8年
3階建",8,8.0,1DK,28.56,0.2801120448179272,東京メトロ千代田線/町屋駅 歩6分,6.0,京成本線/町屋駅 歩7分,7.0,都電荒川線/町屋二丁目駅 歩2分,2.0,,0,,0,,0,,0,,0,2.0,0,1,0,0,町屋,0,,ホームメイトFC小岩駅北口店(株)コーユー
Reberty 北千住,東京都足立区千住宮元町,"築3年
3階建","築3年
3階建",3,6.7,ワンルーム,15.02,0.4460719041278296,東京メトロ日比谷線/北千住駅 歩10分,10.0,京成本線/千住大橋駅 歩8分,8.0,京成本線/京成関屋駅 歩19分,19.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,北千住,0,https://suumo.jp/chintai/jnc_000071245249/?bc=100339834274,(株)宝永エコナ
都営大江戸線 新御徒町駅 13階建 築8年,東京都台東区鳥越１,"築8年
13階建","築8年
13階建",8,9.6,1K,24.41,0.3932814420319541,都営大江戸線/新御徒町駅 歩6分,6.0,ＪＲ山手線/御徒町駅 歩13分,13.0,東京メトロ日比谷線/仲御徒町駅 歩9分,9.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,新御徒町,0,https://suumo.jp/chintai/jnc_000085821642/?bc=100349691577,ソレイユ神田店(株)ソレイユ
セジュールTD,東京都葛飾区西新小岩５,"築31年
2階建","築31年
2階建",31,6.9,2K,35.3,0.1954674220963173,ＪＲ総武線快速/新小岩駅 歩19分,19.0,京成押上線/京成立石駅 歩20分,20.0,東京メトロ千代田線/綾瀬駅 バス25分 (バス停)天祖神社 歩2分,25.0,,0,,0,,0,,0,,0,19.0,1,1,1,1,新小岩,0,,ニコニコ賃貸(株)TEA新宿店
グランデール町屋,東京都荒川区町屋１,"築4年
5階建","築4年
5階建",4,7.7,1DK,20.02,0.3846153846153846,東京メトロ千代田線/町屋駅 歩8分,8.0,都電荒川線/荒川七丁目駅 歩8分,8.0,都電荒川線/町屋駅前駅 歩9分,9.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,町屋,0,https://suumo.jp/chintai/jnc_000062682848/?bc=100349482995,ホームメイトFC小岩駅北口店(株)コーユー
La Vita東上野　ラヴィータ東上野,東京都台東区東上野１,"築5年
11階建","築5年
11階建",5,17.1,1LDK,40.44,0.4228486646884273,東京メトロ日比谷線/仲御徒町駅 歩3分,3.0,ＪＲ山手線/上野駅 歩4分,4.0,都営大江戸線/新御徒町駅 歩6分,6.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,仲御徒町,0,,ニコニコ賃貸(株)TEA新宿店
シャンテ浅草橋II,東京都台東区鳥越１,"築20年
3階建","築20年
3階建",20,6.2,ワンルーム,10.44,0.5938697318007663,ＪＲ総武線/浅草橋駅 歩10分,10.0,都営大江戸線/新御徒町駅 歩6分,6.0,ＪＲ山手線/秋葉原駅 歩12分,12.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,浅草橋,0,https://suumo.jp/chintai/jnc_000085169852/?bc=100347743045,グランデ上野店 (株)グランデ
桜華楼,東京都台東区東浅草１,"築8年
3階建","築8年
3階建",8,6.5,ワンルーム,18.5,0.3513513513513513,東京メトロ銀座線/浅草駅 歩12分,12.0,都営浅草線/浅草橋駅 歩12分,12.0,東京メトロ日比谷線/三ノ輪駅 歩15分,15.0,,0,,0,,0,,0,,0,12.0,0,0,1,0,浅草,0,https://suumo.jp/chintai/jnc_000075196710/?bc=100349689071,(株)グッドリビング浅草店
東京メトロ千代田線 町屋駅 5階建 築4年,東京都荒川区町屋１,"築4年
5階建","築4年
5階建",4,7.7,1DK,20.02,0.3846153846153846,東京メトロ千代田線/町屋駅 歩8分,8.0,都電荒川線/町屋駅前駅 歩9分,9.0,京成本線/町屋駅 歩10分,10.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,町屋,0,https://suumo.jp/chintai/jnc_000062682849/?bc=100349497865,(株)モノリス
東京メトロ東西線 南砂町駅 3階建 築5年,東京都江東区南砂７,"築5年
3階建","築5年
3階建",5,13.7,1LDK,43.8,0.3127853881278539,東京メトロ東西線/南砂町駅 歩9分,9.0,東京メトロ東西線/東陽町駅 歩26分,26.0,,0.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,南砂町,0,https://suumo.jp/chintai/jnc_000085907048/?bc=100349898300,借りROOM北千住店(株)ロダン
ハーモニーテラス梅田?,東京都足立区梅田２,"築4年
2階建","築4年
2階建",4,6.65,ワンルーム,15.81,0.4206198608475648,東武伊勢崎線/五反野駅 歩10分,10.0,ＪＲ常磐線/北千住駅 歩29分,29.0,東武伊勢崎線/梅島駅 歩13分,13.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,五反野,0,https://suumo.jp/chintai/jnc_000085923613/?bc=100349861317,(株)エールーム上野店
ハーモニーテラス梅田&#8555；,東京都足立区梅田２,"築4年
2階建","築4年
2階建",4,6.65,ワンルーム,15.81,0.4206198608475648,東武伊勢崎線/五反野駅 歩10分,10.0,東武伊勢崎線/梅島駅 歩13分,13.0,東武伊勢崎線/小菅駅 歩19分,19.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,五反野,0,https://suumo.jp/chintai/jnc_000085918087/?bc=100349841325,(株)アップスタイル上野駅前店
ハーモニーテラス北小岩VII,東京都江戸川区北小岩６,"築4年
2階建","築4年
2階建",4,5.85,ワンルーム,18.11,0.323025952512424,京成本線/京成小岩駅 歩3分,3.0,北総線/新柴又駅 歩19分,19.0,ＪＲ総武線/小岩駅 歩18分,18.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,京成小岩,0,https://suumo.jp/chintai/jnc_000085880714/?bc=100349534228,(株)ルーミーズ北千住店
福岡ビル,東京都葛飾区新小岩２,"築28年
4階建","築28年
4階建",28,5.2,ワンルーム,16.0,0.325,ＪＲ総武線/新小岩駅 歩4分,4.0,ＪＲ総武線/平井駅 歩28分,28.0,都営バス/新小岩駅前 歩4分,4.0,,0,,0,,0,,0,,0,4.0,1,0,0,0,新小岩,0,https://suumo.jp/chintai/jnc_000069825171/?bc=100349699876,ニコニコ賃貸(株)TEA新宿店
グラシアプレイス錦糸町 GRACIA PLACE KINSHICHO,東京都墨田区横川１,"築3年
7階建","築3年
7階建",3,15.2,1LDK,40.29,0.3772648299826259,東武伊勢崎線/とうきょうスカイツリー駅 歩11分,11.0,東京メトロ半蔵門線/押上駅 歩12分,12.0,都営浅草線/本所吾妻橋駅 歩14分,14.0,,0,,0,,0,,0,,0,11.0,0,0,1,0,とうきょうスカイツリー,0,https://suumo.jp/chintai/jnc_000085047453/?bc=100347928553,アイレントホーム(株)新小岩店
山岸ビル,東京都台東区蔵前３,"築34年
8階建","築34年
8階建",34,9.9,2K,39.66,0.2496217851739788,都営大江戸線/蔵前駅 歩1分,1.0,東京メトロ銀座線/田原町駅 歩10分,10.0,都営浅草線/浅草駅 歩12分,12.0,,0,,0,,0,,0,,0,1.0,1,1,0,0,蔵前,1,https://suumo.jp/chintai/jnc_000084542120/?bc=100341677880,そらうみリアルエステート(株)月島本店
松筑マンション,東京都江戸川区西小岩１,"築45年
4階建","築45年
4階建",45,7.8,2DK,40.5,0.1925925925925926,ＪＲ総武線/小岩駅 歩2分,2.0,京成本線/京成小岩駅 歩17分,17.0,,0.0,,0,,0,,0,,0,,0,2.0,1,1,0,0,小岩,1,https://suumo.jp/chintai/jnc_000064372589/?bc=100299591760,ピタットハウス浅草橋店スターツピタットハウス(株)
ポニーニューハイツ,東京都江戸川区平井６,"築46年
2階建","築46年
2階建",46,7.5,2K,30.0,0.25,ＪＲ総武線/平井駅 歩12分,12.0,ＪＲ総武線/新小岩駅 歩25分,25.0,東武亀戸線/東あずま駅 歩21分,21.0,,0,,0,,0,,0,,0,12.0,1,1,1,1,平井,0,https://suumo.jp/chintai/jnc_000085313744/?bc=100346843826,アイレントホーム(株)小岩店
コンフォリア上野広小路,東京都台東区上野３,"築16年
地下1地上14階建","築16年
地下1地上14階建",16,10.8,ワンルーム,25.16,0.4292527821939587,東京メトロ銀座線/上野広小路駅 歩3分,3.0,東京メトロ千代田線/湯島駅 歩7分,7.0,ＪＲ山手線/上野駅 歩10分,10.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,上野広小路,0,https://suumo.jp/chintai/jnc_000085451607/?bc=100346941937,ピタットハウス本八幡店スターツピタットハウス(株)
グランクオール千住大橋,東京都足立区千住緑町２,"新築
3階建",築１年,1,6.9,1K,20.01,0.3448275862068965,京成本線/千住大橋駅 歩9分,9.0,ＪＲ常磐線/北千住駅 歩16分,16.0,ＪＲ常磐線/南千住駅 歩27分,27.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,千住大橋,0,https://suumo.jp/chintai/jnc_000085880634/?bc=100349524921,(株)クレアスレント上野店
フィユフラッツ西綾瀬コートヤード,東京都足立区西綾瀬２,"新築
5階建",築１年,1,7.5,1K,20.25,0.3703703703703703,東武伊勢崎線/五反野駅 歩2分,2.0,つくばエクスプレス/青井駅 歩16分,16.0,ＪＲ常磐線/綾瀬駅 歩20分,20.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,五反野,0,https://suumo.jp/chintai/jnc_000085897284/?bc=100341726006,新宿不動産 Room Collection(株)
都営新宿線 瑞江駅 3階建 築33年,東京都江戸川区南篠崎町１,"築33年
3階建","築33年
3階建",33,7.0,2K,35.0,0.2,都営新宿線/瑞江駅 歩14分,14.0,都営新宿線/篠崎駅 歩19分,19.0,,0.0,,0,,0,,0,,0,,0,14.0,1,1,1,1,瑞江,0,https://suumo.jp/chintai/jnc_000078531752/?bc=100306224255,(株)タウンハウジング東京 北千住店
都営新宿線 篠崎駅 2階建 築40年,東京都江戸川区上篠崎２,"築40年
2階建","築40年
2階建",40,5.1,2K,29.61,0.1722391084093211,都営新宿線/篠崎駅 歩10分,10.0,都営新宿線/瑞江駅 バス14分 (バス停)中図師 歩8分,14.0,ＪＲ総武線/小岩駅 バス10分 (バス停)上篠崎 歩1分,10.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,篠崎,0,https://suumo.jp/chintai/jnc_000085848773/?bc=100349787036,ハウスコム東東京(株)瑞江店
グラン・ルミエール北千住,東京都足立区千住大川町,"新築
3階建",築１年,1,12.7,1LDK,39.35,0.3227445997458704,東京メトロ千代田線/北千住駅 歩14分,14.0,京成本線/千住大橋駅 歩22分,22.0,東武伊勢崎線/小菅駅 歩24分,24.0,,0,,0,,0,,0,,0,14.0,0,0,1,0,北千住,0,https://suumo.jp/chintai/jnc_000084263647/?bc=100343122246,ホームメイトFC小岩駅北口店(株)コーユー
グレイスフルリッチ,東京都台東区橋場１,"築14年
12階建","築14年
12階建",14,10.5,1LDK,38.66,0.2715985514743921,ＪＲ常磐線/南千住駅 歩18分,18.0,東京メトロ銀座線/浅草駅 歩20分,20.0,東武伊勢崎線/東向島駅 歩26分,26.0,,0,,0,,0,,0,,0,18.0,0,1,1,0,南千住,1,https://suumo.jp/chintai/jnc_000085556056/?bc=100345365174,(株)タウンハウジング東京 青砥店
都営新宿線 住吉駅 4階建 築5年,東京都江東区住吉２,"築5年
4階建","築5年
4階建",5,11.0,1LDK,31.14,0.3532434168272318,都営新宿線/住吉駅 歩3分,3.0,都営新宿線/菊川駅 歩11分,11.0,ＪＲ総武線/錦糸町駅 歩13分,13.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,住吉,0,,ホームメイトFC小岩駅北口店(株)コーユー
東京メトロ銀座線 浅草駅 8階建 新築,東京都台東区今戸１,"新築
8階建",築１年,1,9.1,1K,25.51,0.3567228537828302,東京メトロ銀座線/浅草駅 歩15分,15.0,東武伊勢崎線/浅草駅 歩12分,12.0,つくばエクスプレス/浅草駅 歩18分,18.0,,0,,0,,0,,0,,0,12.0,0,0,1,0,浅草,0,https://suumo.jp/chintai/jnc_000085321228/?bc=100337142389,(株)スターク
ラークガーデン木場,東京都江東区東陽１,"築13年
10階建","築13年
10階建",13,10.0,1K,29.38,0.3403675970047651,東京メトロ東西線/木場駅 歩9分,9.0,東京メトロ東西線/東陽町駅 歩7分,7.0,東京メトロ東西線/門前仲町駅 歩20分,20.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,木場,0,https://suumo.jp/chintai/jnc_000085651011/?bc=100345161148,いい部屋ネット大東建託リーシング(株)練馬店
三幸ビル,東京都墨田区業平４,"築38年
5階建","築38年
5階建",38,7.5,2K,34.02,0.2204585537918871,東京メトロ半蔵門線/押上駅 歩2分,2.0,ＪＲ総武線快速/錦糸町駅 歩20分,20.0,都営浅草線/本所吾妻橋駅 歩12分,12.0,,0,,0,,0,,0,,0,2.0,1,1,0,0,押上,1,https://suumo.jp/chintai/jnc_000082901284/?bc=100342811049,そらうみリアルエステート(株)本店
レオパレスエクレール,東京都足立区大谷田５,"築23年
3階建","築23年
3階建",23,7.8,2K,32.27,0.2417105670901766,東京メトロ千代田線/北綾瀬駅 歩16分,16.0,,0.0,,0.0,,0,,0,,0,,0,,0,16.0,1,1,1,1,北綾瀬,0,https://suumo.jp/chintai/jnc_000016576125/?bc=100348924662,(株)ハウスパートナー押上店
グランカーサ日暮里,東京都荒川区東日暮里６,"新築
9階建",築１年,1,10.0,1DK,25.26,0.395882818685669,ＪＲ山手線/日暮里駅 歩7分,7.0,ＪＲ山手線/西日暮里駅 歩12分,12.0,ＪＲ常磐線/三河島駅 歩6分,6.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,日暮里,0,https://suumo.jp/chintai/jnc_000085848329/?bc=100349430634,ポラスの賃貸 Room'Spot西新井営業所(株)中央ビル管理
ＪＲ総武線 新小岩駅 4階建 築34年,東京都葛飾区西新小岩５,"築34年
4階建","築34年
4階建",34,7.5,2K,43.72,0.1715462031107044,ＪＲ総武線/新小岩駅 歩19分,19.0,京成押上線/四ツ木駅 歩21分,21.0,京成押上線/京成立石駅 歩24分,24.0,,0,,0,,0,,0,,0,19.0,1,1,1,1,新小岩,0,https://suumo.jp/chintai/jnc_000084988516/?bc=100344041501,アエラス日暮里店 (株)アエラス.ER
ワーブ東京木場,東京都江東区塩浜２,"新築
12階建",築１年,1,10.3,1K,25.05,0.4111776447105789,東京メトロ東西線/木場駅 歩11分,11.0,東京メトロ有楽町線/豊洲駅 歩16分,16.0,ＪＲ京葉線/越中島駅 歩16分,16.0,,0,,0,,0,,0,,0,11.0,0,0,1,0,木場,0,https://suumo.jp/chintai/jnc_000079934124/?bc=100339888453,ホームメイトFC小岩駅前店(株)コーユー
第２雄美荘,東京都足立区西新井６,"築39年
2階建","築39年
2階建",39,5.9,2K,33.5,0.1761194029850746,日暮里・舎人ライナー/西新井大師西駅 歩9分,9.0,東武大師線/大師前駅 歩16分,16.0,日暮里・舎人ライナー/谷在家駅 歩12分,12.0,,0,,0,,0,,0,,0,9.0,1,1,1,1,西新井大師西,0,https://suumo.jp/chintai/jnc_000015089376/?bc=100349861179,リブマックス高田馬場店(株)リブマックスリーシング
東京メトロ日比谷線 仲御徒町駅 15階建 築1年,東京都台東区東上野１,"築1年
15階建","築1年
15階建",1,11.8,ワンルーム,25.08,0.4704944178628389,東京メトロ日比谷線/仲御徒町駅 歩2分,2.0,ＪＲ山手線/御徒町駅 歩4分,4.0,都営大江戸線/上野御徒町駅 歩2分,2.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,仲御徒町,0,https://suumo.jp/chintai/jnc_000080132041/?bc=100349858090,アパマンショップ西新井店北澤商事(株)
パオメゾン新宿,東京都葛飾区新宿２,"築10年
2階建","築10年
2階建",10,6.3,ワンルーム,26.49,0.2378255945639864,ＪＲ常磐線/亀有駅 歩17分,17.0,京成本線/京成高砂駅 歩20分,20.0,京成金町線/京成金町駅 歩21分,21.0,,0,,0,,0,,0,,0,17.0,0,1,1,0,亀有,1,https://suumo.jp/chintai/jnc_000085697721/?bc=100348326296,御茶ノ水不動産スーペリアホーム スーペリアス(株)
コルク清澄白河,東京都江東区清澄１,"築2年
5階建","築2年
5階建",2,9.0,1K,18.72,0.4807692307692308,東京メトロ半蔵門線/清澄白河駅 歩5分,5.0,都営大江戸線/森下駅 歩12分,12.0,東京メトロ半蔵門線/水天宮前駅 歩13分,13.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,清澄白河,0,https://suumo.jp/chintai/jnc_000085860525/?bc=100349302012,アエラス綾瀬店 (株)アエラス.PR
サンライズ東和,東京都足立区東和１,"築27年
3階建","築27年
3階建",27,6.7,2K,38.43,0.1743429612282071,東京メトロ千代田線/綾瀬駅 歩14分,14.0,ＪＲ常磐線/亀有駅 歩13分,13.0,ＪＲ常磐線/綾瀬駅 歩14分,14.0,,0,,0,,0,,0,,0,13.0,1,1,1,1,綾瀬,0,,アパマンショップ西新井店北澤商事(株)
都営大江戸線 清澄白河駅 地下1地上8階建 築16年,東京都江東区佐賀２,"築16年
地下1地上8階建","築16年
地下1地上8階建",16,11.0,1K,32.14,0.342252644679527,都営大江戸線/清澄白河駅 歩11分,11.0,東京メトロ半蔵門線/水天宮前駅 歩11分,11.0,東京メトロ東西線/門前仲町駅 歩12分,12.0,,0,,0,,0,,0,,0,11.0,0,0,1,0,清澄白河,0,,ニコニコ賃貸(株)TEA新宿店
プラティーク清澄白河,東京都江東区佐賀２,"築16年
地下1地上8階建","築16年
地下1地上8階建",16,11.5,1K,30.14,0.3815527538155275,都営大江戸線/清澄白河駅 歩11分,11.0,東京メトロ半蔵門線/水天宮前駅 歩11分,11.0,東京メトロ東西線/門前仲町駅 歩12分,12.0,,0,,0,,0,,0,,0,11.0,0,0,1,0,清澄白河,0,,ホームメイトFC小岩駅北口店(株)コーユー
都営大江戸線 清澄白河駅 8階建 築16年,東京都江東区佐賀２,"築16年
8階建","築16年
8階建",16,14.3,2K,38.29,0.3734656568294594,都営大江戸線/清澄白河駅 歩10分,10.0,東京メトロ半蔵門線/水天宮前駅 歩11分,11.0,東京メトロ東西線/門前仲町駅 歩12分,12.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,清澄白河,0,,ニコニコ賃貸(株)TEA新宿店
